GO-term,TAS_stat (-log10 pvalue),CAD_stat (-log10 pvalue),Diff (TAS-CAD),Link
GOBP_DEPHOSPHORYLATION,6.512106525,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DEPHOSPHORYLATION
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS,5.882744323,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS
GOBP_PATTERN_SPECIFICATION_PROCESS,5.842352305,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PATTERN_SPECIFICATION_PROCESS
GOBP_PROTEIN_DEPHOSPHORYLATION,5.697633018,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PROTEIN_DEPHOSPHORYLATION
GOBP_MACROAUTOPHAGY,5.296666943,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MACROAUTOPHAGY
GOBP_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS,5.253628774,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS
GOBP_REGULATION_OF_DNA_REPAIR,5.200807862,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_DNA_REPAIR
GOBP_CELL_CYCLE_G2_M_PHASE_TRANSITION,5.103040393,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_CYCLE_G2_M_PHASE_TRANSITION
GOBP_BLASTOCYST_DEVELOPMENT,5.013357164,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BLASTOCYST_DEVELOPMENT
GOBP_NEGATIVE_REGULATION_OF_BINDING,4.880968663,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_BINDING
GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS,4.694143571,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS
GOBP_DNA_REPLICATION,4.560312738,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DNA_REPLICATION
GOBP_INTRACELLULAR_MONOATOMIC_ION_HOMEOSTASIS,4.556720191,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_INTRACELLULAR_MONOATOMIC_ION_HOMEOSTASIS
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,4.556378842,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR
GOBP_HETEROCYCLE_CATABOLIC_PROCESS,4.426657583,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HETEROCYCLE_CATABOLIC_PROCESS
GOBP_EPITHELIAL_CELL_DIFFERENTIATION,4.413666913,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_DIFFERENTIATION
