GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	64	16	91261	2.0095	0.022243	SAMD11
ENSG00000268179	1	861264	866445	25	8	91261	2.0601	0.019693	AL645608.1
ENSG00000188976	1	879584	894689	52	8	91261	-0.64685	0.74113	NOC2L
ENSG00000187961	1	895967	901095	18	4	91261	-1.1168	0.86797	KLHL17
ENSG00000187583	1	901877	911245	34	13	91261	0.26498	0.39551	PLEKHN1
ENSG00000187642	1	910579	917497	23	5	91261	0.030058	0.48801	C1orf170
ENSG00000188290	1	934342	935552	4	2	91261	0.21383	0.41534	HES4
ENSG00000187608	1	948803	949920	6	2	91261	0.70715	0.23974	ISG15
ENSG00000188157	1	955503	991496	97	12	91261	-0.22534	0.58914	AGRN
ENSG00000237330	1	1006346	1009687	8	3	91261	-0.62551	0.73418	RNF223
ENSG00000131591	1	1017198	1051741	111	13	91261	1.3623	0.086555	C1orf159
ENSG00000162571	1	1109264	1133315	145	19	91261	-0.17391	0.56903	TTLL10
ENSG00000186891	1	1138888	1142071	9	2	91261	0.2016	0.42011	TNFRSF18
ENSG00000186827	1	1146706	1149518	9	3	91261	1.194	0.11625	TNFRSF4
ENSG00000078808	1	1152288	1167411	93	6	91261	1.2335	0.10869	SDF4
ENSG00000176022	1	1167629	1170421	6	1	91261	-0.575	0.71735	B3GALT6
ENSG00000184163	1	1177826	1182102	13	3	91261	-1.5865	0.94368	FAM132A
ENSG00000160087	1	1189289	1209265	55	9	91261	-0.59407	0.72377	UBE2J2
ENSG00000162572	1	1215816	1227409	39	13	91261	-0.54057	0.7056	SCNN1D
ENSG00000131584	1	1227756	1244989	42	9	91261	-0.49343	0.68915	ACAP3
ENSG00000169972	1	1243947	1247057	5	3	91261	-1.3533	0.91202	PUSL1
ENSG00000127054	1	1246965	1260071	20	6	91261	-0.22372	0.58851	CPSF3L
ENSG00000224051	1	1260136	1264277	12	3	91261	-0.10182	0.54055	GLTPD1
ENSG00000169962	1	1266694	1270686	15	6	91261	0.54842	0.2917	TAS1R3
ENSG00000107404	1	1270656	1284730	38	10	91261	-0.48512	0.68621	DVL1
ENSG00000162576	1	1288069	1297157	28	6	91261	0.1542	0.43872	MXRA8
ENSG00000175756	1	1309110	1310875	7	3	91261	-0.81264	0.79179	AURKAIP1
ENSG00000221978	1	1321091	1334708	22	7	91261	0.2055	0.41859	CCNL2
ENSG00000224870	1	1334902	1337426	10	3	91261	0.21758	0.41388	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	13	5	91261	-0.18044	0.5716	MRPL20
ENSG00000235098	1	1353800	1357149	9	4	91261	0.2427	0.40412	ANKRD65
ENSG00000205116	1	1361508	1363167	8	3	91261	0.39703	0.34567	TMEM88B
ENSG00000179403	1	1370241	1378262	16	4	91261	0.25618	0.3989	VWA1
ENSG00000215915	1	1385069	1405538	56	8	91261	-0.49923	0.69119	ATAD3C
ENSG00000160072	1	1407143	1433228	39	9	91261	-2.4467	0.99279	ATAD3B
ENSG00000197785	1	1447531	1470067	65	12	91261	-0.58429	0.72049	ATAD3A
ENSG00000205090	1	1470554	1475833	8	3	91261	-0.19473	0.5772	TMEM240
ENSG00000160075	1	1477053	1510249	97	12	91261	-0.34002	0.63308	SSU72
ENSG00000215014	1	1510355	1511373	5	1	91261	-0.30476	0.61973	AL645728.1
ENSG00000228594	1	1533392	1535476	2	1	91261	-1.7022	0.95565	C1orf233
ENSG00000197530	1	1550795	1565990	38	8	91261	-0.75036	0.77348	MIB2
ENSG00000248333	1	1570603	1590473	16	3	91261	-1.389	0.91758	CDK11B
ENSG00000189339	1	1592939	1624167	59	12	91261	-0.67651	0.75064	SLC35E2B
ENSG00000008128	1	1634169	1655766	41	3	91261	1.1212	0.1311	CDK11A
ENSG00000215790	1	1656277	1677431	39	8	91261	0.82244	0.20541	SLC35E2
ENSG00000008130	1	1682671	1711896	69	9	91261	0.69115	0.24474	NADK
ENSG00000078369	1	1716729	1822495	155	20	91261	0.99527	0.1598	GNB1
ENSG00000169885	1	1846266	1848735	11	3	91261	-0.043554	0.51737	CALML6
ENSG00000178821	1	1849029	1850712	6	2	91261	-0.90257	0.81662	TMEM52
ENSG00000142609	1	1853396	1935276	333	25	91261	-0.33502	0.63119	C1orf222
ENSG00000187730	1	1950780	1962192	31	7	91261	0.47315	0.31805	GABRD
ENSG00000067606	1	1981909	2116834	403	28	91261	-0.20361	0.58067	PRKCZ
ENSG00000162585	1	2115903	2144159	52	11	91261	1.2325	0.10887	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	91261	-0.28926	0.61381	AL590822.2
ENSG00000203301	1	2143360	2145620	6	3	91261	2.469	0.0067741	AL590822.1
ENSG00000157933	1	2160134	2241558	234	41	91261	1.6443	0.050056	SKI
ENSG00000116151	1	2252692	2323146	295	34	91261	-0.055074	0.52196	MORN1
ENSG00000157916	1	2323267	2336883	35	10	91261	-1.224	0.88953	RER1
ENSG00000157911	1	2336236	2345236	26	8	91261	-1.6307	0.94852	PEX10
ENSG00000149527	1	2357419	2436969	265	37	91261	0.23567	0.40685	PLCH2
ENSG00000157881	1	2439972	2458039	41	6	91261	-0.4826	0.68531	PANK4
ENSG00000197921	1	2460184	2461684	3	2	91261	0.97746	0.16417	HES5
ENSG00000157873	1	2487078	2496821	24	5	91261	0.19239	0.42372	TNFRSF14
ENSG00000157870	1	2517930	2522908	11	4	91261	-1.9313	0.97328	FAM213B
ENSG00000142606	1	2522078	2564481	150	9	91261	-1.6117	0.94648	MMEL1
ENSG00000215912	1	2567415	2718286	104	11	91261	-0.7734	0.78036	TTC34
ENSG00000169717	1	2938046	2939465	2	1	91261	1.3287	0.091973	ACTRT2
ENSG00000142611	1	2985732	3355185	1366	151	91261	1.4004	0.080692	PRDM16
ENSG00000130762	1	3370990	3397677	94	12	91261	-0.92914	0.82359	ARHGEF16
ENSG00000162591	1	3406484	3528059	500	76	91261	-0.33383	0.63075	MEGF6
ENSG00000158109	1	3541566	3546691	12	4	91261	-1.5948	0.94462	TPRG1L
ENSG00000116213	1	3547331	3569325	37	9	91261	0.6581	0.25524	WRAP73
ENSG00000078900	1	3569084	3652765	295	49	91261	-0.34062	0.6333	TP73
ENSG00000162592	1	3668962	3688209	68	15	91261	0.60731	0.27182	CCDC27
ENSG00000235169	1	3689352	3692546	12	5	91261	0.89681	0.18491	SMIM1
